Extension,Description
.a52,Atari 5200
.a78,Atari 7800
.a78,Atari 7800
.a78,Atari 7800
.adf,Amiga (.adf) (for 880K diskette images)
.adf,Amiga (.adf) (for 880K diskette images)
.adf,Amiga (.adf) (for 880K diskette images)
.adp,ADP AOLserver Dynamic Page
.adp,ADP AOLserver Dynamic Page
.adp,ADP AOLserver Dynamic Page
.app/APP,"file extension are executable application packages for running apps on HarmonyOS, OpenHarmony and HarmonyOS NEXT devices."
.app/APP,"file extension are executable application packages for running apps on HarmonyOS, OpenHarmony and HarmonyOS NEXT devices."
.app/APP,"file extension are executable application packages for running apps on HarmonyOS, OpenHarmony and HarmonyOS NEXT devices."
.asc/.text/.txt,"human-readable plain text, usually no more specific"
.asc/.text/.txt,"human-readable plain text, usually no more specific"
.asc/.text/.txt,"human-readable plain text, usually no more specific"
.asp,ASP Microsoft Active Server Page
.asp,ASP Microsoft Active Server Page
.asp,ASP Microsoft Active Server Page
.aspx,ASPX Microsoft Active Server Page. NET
.aspx,ASPX Microsoft Active Server Page. NET
.aspx,ASPX Microsoft Active Server Page. NET
.atom/.xml,Atom Another syndication format.
.atom/.xml,Atom Another syndication format.
.atom/.xml,Atom Another syndication format.
.bak/.bk,"Bak file various backup formats: some just copies of data files, some in application-specific data backup formats, some formats for general file backup programs"
.bak/.bk,"Bak file various backup formats: some just copies of data files, some in application-specific data backup formats, some formats for general file backup programs"
.bak/.bk,"Bak file various backup formats: some just copies of data files, some in application-specific data backup formats, some formats for general file backup programs"
.bik,BIK Bink Video file. A video compression system developed by RAD Game Tools
.bik,BIK Bink Video file. A video compression system developed by RAD Game Tools
.bik,BIK Bink Video file. A video compression system developed by RAD Game Tools
.bin,Odyssey²
.bin,Odyssey²
.bin,Odyssey²
.bml,BML Better Markup Language (templating)
.bml,BML Better Markup Language (templating)
.bml,BML Better Markup Language (templating)
.cer/.crt/.der,Distinguished Encoding Rules stores certificates
.cer/.crt/.der,Distinguished Encoding Rules stores certificates
.cer/.crt/.der,Distinguished Encoding Rules stores certificates
.cfm,CFM ColdFusion
.cfm,CFM ColdFusion
.cfm,CFM ColdFusion
.cgi,CGI
.cgi,CGI
.cgi,CGI
.cia,Nintendo 3DS Installation File (for installing games with the use of the FBI homebrew application)
.cia,Nintendo 3DS Installation File (for installing games with the use of the FBI homebrew application)
.cia,Nintendo 3DS Installation File (for installing games with the use of the FBI homebrew application)
.class,Compiled Java bytecode
.class,Compiled Java bytecode
.class,Compiled Java bytecode
.cnf/.conf/.cfg,configuration file substantially software-specific
.cnf/.conf/.cfg,configuration file substantially software-specific
.cnf/.conf/.cfg,configuration file substantially software-specific
.cow,Copy-on-write
.cow,Copy-on-write
.cow,Copy-on-write
.crdownload,CRDOWNLOAD partly complete or incomplete Google Chrome or Microsoft Edge download
.crdownload,CRDOWNLOAD partly complete or incomplete Google Chrome or Microsoft Edge download
.crdownload,CRDOWNLOAD partly complete or incomplete Google Chrome or Microsoft Edge download
.dat,"not specific file type, often generic extension for ""data"" files for a variety of applications, sometimes used for general data contained within the .PK3/PK4 files .fontdat – a .dat file used for formatting game fonts"
.dat,"not specific file type, often generic extension for ""data"" files for a variety of applications, sometimes used for general data contained within the .PK3/PK4 files .fontdat – a .dat file used for formatting game fonts"
.dat,"not specific file type, often generic extension for ""data"" files for a variety of applications, sometimes used for general data contained within the .PK3/PK4 files .fontdat – a .dat file used for formatting game fonts"
.dcm,Digital Imaging and Communications in Medicine (DICOM)
.dcm,Digital Imaging and Communications in Medicine (DICOM)
.dcm,Digital Imaging and Communications in Medicine (DICOM)
.desktop,Desktop entry on Linux Desktop environments
.desktop,Desktop entry on Linux Desktop environments
.desktop,Desktop entry on Linux Desktop environments
.dgn/.cel,Intergraph Standard File Formats Intergraph
.dgn/.cel,Intergraph Standard File Formats Intergraph
.dgn/.cel,Intergraph Standard File Formats Intergraph
.dsi,Nintendo DSiWare
.dsi,Nintendo DSiWare
.dsi,Nintendo DSiWare
.dx/.jdx,Joint Committee on Atomic and Molecular Physical Data (JCAMP)
.dx/.jdx,Joint Committee on Atomic and Molecular Physical Data (JCAMP)
.dx/.jdx,Joint Committee on Atomic and Molecular Physical Data (JCAMP)
.egt,Universal Document can be used to store CSS type styles
.egt,Universal Document can be used to store CSS type styles
.egt,Universal Document can be used to store CSS type styles
.eml,EML Format used by several desktop email clients.
.eml,EML Format used by several desktop email clients.
.eml,EML Format used by several desktop email clients.
.exe,DOS executable (.exe: used in DOS)
.exe,DOS executable (.exe: used in DOS)
.exe,DOS executable (.exe: used in DOS)
.fc#,"FCEUX Save States (.fc#, where # is any character, usually a number)"
.fc#,"FCEUX Save States (.fc#, where # is any character, usually a number)"
.fc#,"FCEUX Save States (.fc#, where # is any character, usually a number)"
.fds,Famicom Disk System
.fds,Famicom Disk System
.fds,Famicom Disk System
.fig,"Super Famicom (Japanese releases are rarely .fig, above extensions are more common)"
.fig,"Super Famicom (Japanese releases are rarely .fig, above extensions are more common)"
.fig,"Super Famicom (Japanese releases are rarely .fig, above extensions are more common)"
.fits,FITS (Flexible Image Transport System) standard data format for astronomy
.fits,FITS (Flexible Image Transport System) standard data format for astronomy
.fits,FITS (Flexible Image Transport System) standard data format for astronomy
.fontdat,a .dat file used for formatting game fonts
.fontdat,a .dat file used for formatting game fonts
.fontdat,a .dat file used for formatting game fonts
.frz/.000-.008,Snes9X Save States
.frz/.000-.008,Snes9X Save States
.frz/.000-.008,Snes9X Save States
.g3k,"an obscure, uncommon format used by the CASIO graphing calculators to store keylogs"
.g3k,"an obscure, uncommon format used by the CASIO graphing calculators to store keylogs"
.g3k,"an obscure, uncommon format used by the CASIO graphing calculators to store keylogs"
.g6/.s6,"graph6, sparse6, ASCII encoding of Adjacency matrices"
.g6/.s6,"graph6, sparse6, ASCII encoding of Adjacency matrices"
.g6/.s6,"graph6, sparse6, ASCII encoding of Adjacency matrices"
.gb,Game Boy (this applies to the original Game Boy and the Game Boy Color)
.gb,Game Boy (this applies to the original Game Boy and the Game Boy Color)
.gb,Game Boy (this applies to the original Game Boy and the Game Boy Color)
.gba,a Game Boy Advance Game from a Rom Cartridge
.gba,a Game Boy Advance Game from a Rom Cartridge
.gba,a Game Boy Advance Game from a Rom Cartridge
.gbc,Game Boy Color
.gbc,Game Boy Color
.gbc,Game Boy Color
.gcm/.iso,a GameCube disk/game
.gcm/.iso,a GameCube disk/game
.gcm/.iso,a GameCube disk/game
.ged,GEDCOM (GEnealogical Data COMmunication) format to exchange genealogy data between different genealogy software
.ged,GEDCOM (GEnealogical Data COMmunication) format to exchange genealogy data between different genealogy software
.ged,GEDCOM (GEnealogical Data COMmunication) format to exchange genealogy data between different genealogy software
.gg,Game Gear
.gg,Game Gear
.gg,Game Gear
.gii,single-file (combined data and meta-data) style; NIfTI offspring for brain surface data
.gii,single-file (combined data and meta-data) style; NIfTI offspring for brain surface data
.gii,single-file (combined data and meta-data) style; NIfTI offspring for brain surface data
.hdd,Virtual Machine hard disk
.hdd,Virtual Machine hard disk
.hdd,Virtual Machine hard disk
.hec,Hector Game Engine – Flatspace model format
.hec,Hector Game Engine – Flatspace model format
.hec,Hector Game Engine – Flatspace model format
.html/.htm,HTML HyperText Markup Language
.html/.htm,HTML HyperText Markup Language
.html/.htm,HTML HyperText Markup Language
.iff/.ilbm/.lbm,IFF ILBM
.iff/.ilbm/.lbm,IFF ILBM
.iff/.ilbm/.lbm,IFF ILBM
.ihtml,iHTML Inline HTML
.ihtml,iHTML Inline HTML
.ihtml,iHTML Inline HTML
.img/.hdr,"Analyze data, meta-data"
.img/.hdr,"dual-file (separate data and meta-data, respectively) style"
.img/.hdr,"Analyze data, meta-data"
.img/.hdr,"dual-file (separate data and meta-data, respectively) style"
.img/.hdr,"dual-file (separate data and meta-data, respectively) style"
.img/.hdr,"Analyze data, meta-data"
.int,Intellivision
.int,Intellivision
.int,Intellivision
.ipa/.IPA,file extension for apple IOS application executable file. Another form of zip file.
.ipa/.IPA,file extension for apple IOS application executable file. Another form of zip file.
.ipa/.IPA,file extension for apple IOS application executable file. Another form of zip file.
.ipynb,IPython Notebook
.ipynb,IPython Notebook
.ipynb,IPython Notebook
.iso/.wbfs/.wad/.wdf,a Wii and WiiU disk/game
.iso/.wbfs/.wad/.wdf,a Wii and WiiU disk/game
.iso/.wbfs/.wad/.wdf,a Wii and WiiU disk/game
.jag/.j64,an Atari Jaguar game from a Rom Cartridge
.jag/.j64,an Atari Jaguar game from a Rom Cartridge
.jag/.j64,an Atari Jaguar game from a Rom Cartridge
.jkr,format used by Balatro for data storage
.jkr,format used by Balatro for data storage
.jkr,format used by Balatro for data storage
.jsonld,JSON-LD A JSON-based serialization for linked data.
.jsonld,JSON-LD A JSON-based serialization for linked data.
.jsonld,JSON-LD A JSON-based serialization for linked data.
.jsp,JSP JavaServer Pages
.jsp,JSP JavaServer Pages
.jsp,JSP JavaServer Pages
.jst,Jnes Save States
.jst,Jnes Save States
.jst,Jnes Save States
.ko,Loadable kernel module
.ko,Loadable kernel module
.ko,Loadable kernel module
.kprx,KPRX A XML-based serialization for workflow definition generated by K2.
.kprx,KPRX A XML-based serialization for workflow definition generated by K2.
.kprx,KPRX A XML-based serialization for workflow definition generated by K2.
.kt,Kotlin
.kt,Kotlin
.kt,Kotlin
.las/.lasso/.lassoapp,"Lasso, A file created or served with the Lasso Programming Language"
.las/.lasso/.lassoapp,"Lasso, A file created or served with the Lasso Programming Language"
.las/.lasso/.lassoapp,"Lasso, A file created or served with the Lasso Programming Language"
.lnx,Atari Lynx
.lnx,Atari Lynx
.lnx,Atari Lynx
.log,Virtual Machine Logfile
.log,Virtual Machine Logfile
.log,Virtual Machine Logfile
.log,"logfiles usually text, but sometimes binary"
.log,"logfiles usually text, but sometimes binary"
.log,"logfiles usually text, but sometimes binary"
.maff,MAF web archive based on ZIP
.maff,MAF web archive based on ZIP
.maff,MAF web archive based on ZIP
.markdown/.md,"Markdown Plain text formatting syntax, which is popularly used to format ""readme"" files."
.markdown/.md,"Markdown Plain text formatting syntax, which is popularly used to format ""readme"" files."
.markdown/.md,"Markdown Plain text formatting syntax, which is popularly used to format ""readme"" files."
.md,"Markdown an open lightweight markup language to create simple but rich text, often used to format README files"
.md,"Markdown an open lightweight markup language to create simple but rich text, often used to format README files"
.md,"Markdown an open lightweight markup language to create simple but rich text, often used to format README files"
.metalink/.met,"Metalink A format to list metadata about downloads, such as mirrors, checksums, and other information."
.metalink/.met,"Metalink A format to list metadata about downloads, such as mirrors, checksums, and other information."
.metalink/.met,"Metalink A format to list metadata about downloads, such as mirrors, checksums, and other information."
.mht/.mhtml,"MHTML Archived HTML, store all data on one web page (text, images, etc.) in one big file"
.mht/.mhtml,"MHTML Archived HTML, store all data on one web page (text, images, etc.) in one big file"
.mht/.mhtml,"MHTML Archived HTML, store all data on one web page (text, images, etc.) in one big file"
.min,a Pokemon mini rom/game
.min,a Pokemon mini rom/game
.min,a Pokemon mini rom/game
.min,Pokémon Mini
.min,Pokémon Mini
.min,Pokémon Mini
.mkv,"Matroska Matroska is a container format, which enables any video format such as MPEG-4 ASP or AVC to be used along with other content such as subtitles and detailed meta information"
.mkv,"Matroska Matroska is a container format, which enables any video format such as MPEG-4 ASP or AVC to be used along with other content such as subtitles and detailed meta information"
.mkv,"Matroska Matroska is a container format, which enables any video format such as MPEG-4 ASP or AVC to be used along with other content such as subtitles and detailed meta information"
.mnc,"previously based on NetCDF; since version 2.0, based on HDF5"
.mnc,"previously based on NetCDF; since version 2.0, based on HDF5"
.mnc,"previously based on NetCDF; since version 2.0, based on HDF5"
.mol/.sd/.sdf,Chemical table file (CTab)
.mol/.sd/.sdf,Chemical table file (CTab)
.mol/.sd/.sdf,Chemical table file (CTab)
.mov,QuickTime container which enables any form of compression to be used; Sorenson codec is the most common; QTCH is the filetype for cached video and audio streams
.mov,QuickTime container which enables any form of compression to be used; Sorenson codec is the most common; QTCH is the filetype for cached video and audio streams
.mov,QuickTime container which enables any form of compression to be used; Sorenson codec is the most common; QTCH is the filetype for cached video and audio streams
.mpeg/.mpg/.mpe,MPEG
.mpeg/.mpg/.mpe,MPEG
.mpeg/.mpg/.mpe,MPEG
.n64/.v64/.z64/.u64/.usa/.jap/.pal/.eur/.bin,Nintendo 64
.n64/.v64/.z64/.u64/.usa/.jap/.pal/.eur/.bin,Nintendo 64
.n64/.v64/.z64/.u64/.usa/.jap/.pal/.eur/.bin,Nintendo 64
.nSign,nSign public key nSign public key in a custom format[24]
.nSign,nSign public key nSign public key in a custom format[24]
.nSign,nSign public key nSign public key in a custom format[24]
.nds,a Nintendo DS game from a Rom Cartridge
.nds,a Nintendo DS game from a Rom Cartridge
.nds,a Nintendo DS game from a Rom Cartridge
.nes,Nintendo Entertainment System[35]
.nes,Nintendo Entertainment System[35]
.nes,Nintendo Entertainment System[35]
.ngc,Neo Geo Pocket Color
.ngc,Neo Geo Pocket Color
.ngc,Neo Geo Pocket Color
.nii,single-file (combined data and meta-data) style
.nii,single-file (combined data and meta-data) style
.nii,single-file (combined data and meta-data) style
.nii.gz,"gzip-compressed, used transparently by some software, notably the FMRIB Software Library (FSL)"
.nii.gz,"gzip-compressed, used transparently by some software, notably the FMRIB Software Library (FSL)"
.nii.gz,"gzip-compressed, used transparently by some software, notably the FMRIB Software Library (FSL)"
.npc/.ngp,Neo Geo Pocket
.npc/.ngp,Neo Geo Pocket
.npc/.ngp,Neo Geo Pocket
.nsp,"Nintendo Switch EShop Video Game file that stores audio data, video data, game data, and program code for the Nintendo Switch; Also supported by emulators."
.nsp,"Nintendo Switch EShop Video Game file that stores audio data, video data, game data, and program code for the Nintendo Switch; Also supported by emulators."
.nsp,"Nintendo Switch EShop Video Game file that stores audio data, video data, game data, and program code for the Nintendo Switch; Also supported by emulators."
.nvram,Virtual Machine BIOS
.nvram,Virtual Machine BIOS
.nvram,Virtual Machine BIOS
.o,un-linked object files directly from the compiler
.o,un-linked object files directly from the compiler
.o,un-linked object files directly from the compiler
.ofx,Open Financial Exchange， open standard supported by CheckFree and Microsoft and partly by Intuit; SGML and later XML based
.ofx,Open Financial Exchange， open standard supported by CheckFree and Microsoft and partly by Intuit; SGML and later XML based
.ofx,Open Financial Exchange， open standard supported by CheckFree and Microsoft and partly by Intuit; SGML and later XML based
.opdownload,OPDOWNLOAD partly complete or incomplete Opera download
.opdownload,OPDOWNLOAD partly complete or incomplete Opera download
.opdownload,OPDOWNLOAD partly complete or incomplete Opera download
.p12/.pfx,PKCS#12 can store public certificates and private keys
.p12/.pfx,PKCS#12 can store public certificates and private keys
.p12/.pfx,PKCS#12 can store public certificates and private keys
.p7b/.p7c,"PKCS#7 SignedData commonly appears without main data, just certificates or certificate revocation lists (CRLs)"
.p7b/.p7c,"PKCS#7 SignedData commonly appears without main data, just certificates or certificate revocation lists (CRLs)"
.p7b/.p7c,"PKCS#7 SignedData commonly appears without main data, just certificates or certificate revocation lists (CRLs)"
.part,PART partly complete Mozilla Firefox or Transmission download
.part,PART partly complete Mozilla Firefox or Transmission download
.part,PART partly complete Mozilla Firefox or Transmission download
.partial,PARTIAL partly complete Internet Explorer or Edge Legacy download
.partial,PARTIAL partly complete Internet Explorer or Edge Legacy download
.partial,PARTIAL partly complete Internet Explorer or Edge Legacy download
.pce,TurboGrafx-16/PC Engine
.pce,TurboGrafx-16/PC Engine
.pce,TurboGrafx-16/PC Engine
.php/.php?/.phtml,"PHP ? is version number (previously abbreviated Personal Home Page, later changed to PHP: Hypertext Preprocessor)"
.php/.php?/.phtml,"PHP ? is version number (previously abbreviated Personal Home Page, later changed to PHP: Hypertext Preprocessor)"
.php/.php?/.phtml,"PHP ? is version number (previously abbreviated Personal Home Page, later changed to PHP: Hypertext Preprocessor)"
.pj,Project 64 Save States
.pj,Project 64 Save States
.pj,Project 64 Save States
.pl,Perl
.pl,Perl
.pl,Perl
.ppk,"PuTTY private key, Secure Shell private key, in the format generated by PuTTYgen instead of the format used by OpenSSH[21][22][23]"
.ppk,"PuTTY private key, Secure Shell private key, in the format generated by PuTTYgen instead of the format used by OpenSSH[21][22][23]"
.ppk,"PuTTY private key, Secure Shell private key, in the format generated by PuTTYgen instead of the format used by OpenSSH[21][22][23]"
.procreate,Procreate’s drawing file
.procreate,Procreate’s drawing file
.procreate,Procreate’s drawing file
.ps,PS A XML-based serialization for test automation scripts called PowerScripts for K2 based applications.
.ps,PS A XML-based serialization for test automation scripts called PowerScripts for K2 based applications.
.ps,PS A XML-based serialization for test automation scripts called PowerScripts for K2 based applications.
.ps/.ps/.gz,PostScript [clarification needed]
.ps/.ps/.gz,PostScript [clarification needed]
.ps/.ps/.gz,PostScript [clarification needed]
.pss,Sony PlayStation 2 Game Video file and is used to store audio and video data by games for the PlayStation 2 console.
.pss,Sony PlayStation 2 Game Video file and is used to store audio and video data by games for the PlayStation 2 console.
.pss,A Sony PlayStation 2 Game Video file and is used to store audio and video data by games for the PlayStation 2 console.
.pss,A Sony PlayStation 2 Game Video file and is used to store audio and video data by games for the PlayStation 2 console.
.pss,Sony PlayStation 2 Game Video file and is used to store audio and video data by games for the PlayStation 2 console.
.pss,A Sony PlayStation 2 Game Video file and is used to store audio and video data by games for the PlayStation 2 console.
.pub,"OpenSSH public key, Secure Shell public key; format generated by ssh-keygen or PuTTYgen[21][22][23]"
.pub,"OpenSSH public key, Secure Shell public key; format generated by ssh-keygen or PuTTYgen[21][22][23]"
.pub,"OpenSSH public key, Secure Shell public key; format generated by ssh-keygen or PuTTYgen[21][22][23]"
.pvs,Virtual Machine preferences/configuration
.pvs,Virtual Machine preferences/configuration
.pvs,Virtual Machine preferences/configuration
.qcow,QEMU copy-on-write
.qcow,QEMU copy-on-write
.qcow,QEMU copy-on-write
.qcow2,QEMU copy-on-write – version 2
.qcow2,QEMU copy-on-write – version 2
.qcow2,QEMU copy-on-write – version 2
.qed,QEMU enhanced disk format
.qed,QEMU enhanced disk format
.qed,QEMU enhanced disk format
.qif,Quicken Interchange Format open standard formerly supported by Intuit
.qif,Quicken Interchange Format open standard formerly supported by Intuit
.qif,Quicken Interchange Format open standard formerly supported by Intuit
.root,hierarchical platform-independent compressed binary format used by ROOT
.root,hierarchical platform-independent compressed binary format used by ROOT
.root,hierarchical platform-independent compressed binary format used by ROOT
.roq,Video format
.roq,Video format
.roq,Video format
.rss/.xml,RSS Syndication format.
.rss/.xml,RSS Syndication format.
.rss/.xml,RSS Syndication format.
.s1es,Executable used for S1ES learning system.
.s1es,Executable used for S1ES learning system.
.s1es,Executable used for S1ES learning system.
.sav,Savegame/Savefile format
.sav,Game Boy Advance Saved Data Files
.sav,Virtual Machine saved state
.sav,Game Boy Advance Saved Data Files
.sav,Game Boy Advance Saved Data Files
.sav,Virtual Machine saved state
.sav,Virtual Machine saved state
.sav,Savegame/Savefile format
.sav,Savegame/Savefile format
.se,Shuttle Another lightweight markup language.
.se,Shuttle Another lightweight markup language.
.se,Shuttle Another lightweight markup language.
.sg,SG-1000
.sg,SG-1000
.sg,SG-1000
.sgm,Visual Boy Advance Save States
.sgm,Visual Boy Advance Save States
.sgm,Visual Boy Advance Save States
.shtml,SSI HTML with Server Side Includes (Apache)
.shtml,SSI HTML with Server Side Includes (Apache)
.shtml,SSI HTML with Server Side Includes (Apache)
.smc/.078/.sfc,"Super NES (.078 is for split ROMs, which are rare)"
.smc/.078/.sfc,"Super NES (.078 is for split ROMs, which are rare)"
.smc/.078/.sfc,"Super NES (.078 is for split ROMs, which are rare)"
.smd/.bin,Mega Drive/Genesis
.smd/.bin,Mega Drive/Genesis
.smd/.bin,Mega Drive/Genesis
.smi,Simplified molecular input line entry specification (SMILES)
.smi,Simplified molecular input line entry specification (SMILES)
.smi,Simplified molecular input line entry specification (SMILES)
.smk,SMK Smacker video file. A video compression system developed by RAD Game Tools
.smk,SMK Smacker video file. A video compression system developed by RAD Game Tools
.smk,SMK Smacker video file. A video compression system developed by RAD Game Tools
.sms,Master System
.sms,Master System
.sms,Master System
.so,"shared library, typically ELF"
.so,"shared library, typically ELF"
.so,"shared library, typically ELF"
.srm,Super NES Saved Data Files
.srm,Super NES Saved Data Files
.srm,Super NES Saved Data Files
.ssh,"OpenSSH private key, Secure Shell private key; format generated by ssh-keygen or converted from PPK with PuTTYgen[21][22][23]"
.ssh,"OpenSSH private key, Secure Shell private key; format generated by ssh-keygen or converted from PPK with PuTTYgen[21][22][23]"
.ssh,"OpenSSH private key, Secure Shell private key; format generated by ssh-keygen or converted from PPK with PuTTYgen[21][22][23]"
.stm,SSI HTML with Server Side Includes (Apache)
.stm,SSI HTML with Server Side Includes (Apache)
.stm,SSI HTML with Server Side Includes (Apache)
.tap,Commodore 64 (.tap) (for tape images including copy protection)
.tap,Commodore 64 (.tap) (for tape images including copy protection)
.tap,Commodore 64 (.tap) (for tape images including copy protection)
.temp/.tmp,"Temporary file sometimes in a specific format, but often just raw data in the middle of processing"
.temp/.tmp,"Temporary file sometimes in a specific format, but often just raw data in the middle of processing"
.temp/.tmp,"Temporary file sometimes in a specific format, but often just raw data in the middle of processing"
.tpl,Web template
.tpl,Web template
.tpl,Web template
.ttf/.ttc,TrueType Font
.ttf/.ttc,TrueType Font
.ttf/.ttc,TrueType Font
.tzx,ZX Spectrum (for exact copies of ZX Spectrum games)
.tzx,ZX Spectrum (for exact copies of ZX Spectrum games)
.tzx,ZX Spectrum (for exact copies of ZX Spectrum games)
.vb,Virtual Boy
.vb,Virtual Boy
.vb,Virtual Boy
.vbox,VirtualBox machine
.vbox,VirtualBox machine
.vbox,VirtualBox machine
.vbox-extpack,VirtualBox extension pack
.vbox-extpack,VirtualBox extension pack
.vbox-extpack,VirtualBox extension pack
.vdi,VirtualBox virtual disk image
.vdi,VirtualBox virtual disk image
.vdi,VirtualBox virtual disk image
.vec,Vectrex
.vec,Vectrex
.vec,Vectrex
.vfd,Virtual Floppy Disk
.vfd,Virtual Floppy Disk
.vfd,Virtual Floppy Disk
.vhd,Virtual Hard Disk
.vhd,Virtual Hard Disk
.vhd,Virtual Hard Disk
.vmc,Virtual Machine Configuration
.vmc,Virtual Machine Configuration
.vmc,Virtual Machine Configuration
.vmdk/.dsk,Virtual Machine Disk
.vmdk/.dsk,Virtual Machine Disk
.vmdk/.dsk,Virtual Machine Disk
.vmem,Virtual Machine paging file
.vmem,Virtual Machine paging file
.vmem,Virtual Machine paging file
.vmsd,Virtual Machine snapshot metadata
.vmsd,Virtual Machine snapshot metadata
.vmsd,Virtual Machine snapshot metadata
.vmsn,Virtual Machine snapshot
.vmsn,Virtual Machine snapshot
.vmsn,Virtual Machine snapshot
.vmss/.std,Virtual Machine suspended state
.vmss/.std,Virtual Machine suspended state
.vmss/.std,Virtual Machine suspended state
.vmtm,Virtual Machine team data
.vmtm,Virtual Machine team data
.vmtm,Virtual Machine team data
.vmx/.cfg,Virtual Machine configuration
.vmx/.cfg,Virtual Machine configuration
.vmx/.cfg,Virtual Machine configuration
.vmxf,Virtual Machine team configuration
.vmxf,Virtual Machine team configuration
.vmxf,Virtual Machine team configuration
.vsv,Virtual Machine Saved State
.vsv,Virtual Machine Saved State
.vsv,Virtual Machine Saved State
.vud,Virtual Undo Disk
.vud,Virtual Undo Disk
.vud,Virtual Undo Disk
.wrl,"Virtual Reality Modeling Language, VRML Uses this extension for the creation of 3D viewable web images."
.wrl,"Virtual Reality Modeling Language, VRML Uses this extension for the creation of 3D viewable web images."
.wrl,"Virtual Reality Modeling Language, VRML Uses this extension for the creation of 3D viewable web images."
.ws,WonderSwan
.ws,WonderSwan
.ws,WonderSwan
.wsc,WonderSwan Color
.wsc,WonderSwan Color
.wsc,WonderSwan Color
.xci,"Nintendo Switch Video Game cartridge dump file that stores audio data, video data, game data, and program code for the Nintendo Switch; Also supported by emulators."
.xci,"Nintendo Switch Video Game cartridge dump file that stores audio data, video data, game data, and program code for the Nintendo Switch; Also supported by emulators."
